,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,GLD,VNQ,DBC
2015-01-01,100.3214,106.2989,111.574,116.4073,119.8923,124.4882,130.0602,135.1423,140.9941,145.0189
2015-01-02,98.9688,103.3535,109.6232,114.4894,117.977,125.0007,130.0422,135.0923,138.4067,143.302
2015-01-05,98.0795,103.5707,109.753,114.1135,117.8896,123.826,129.5562,136.0029,139.6696,143.6834
2015-01-06,98.2615,103.731,110.7386,115.1755,118.0374,123.864,129.8342,137.5522,139.2822,144.5827
2015-01-07,98.4733,104.2627,110.062,115.0333,118.502,123.3848,129.3629,137.7643,139.458,143.0715
2015-01-08,98.6507,104.066,109.8602,116.1366,119.5584,123.116,128.8632,138.5587,140.1601,144.7619
2015-01-09,98.4184,102.9747,109.4585,116.6279,120.2646,122.4212,128.7166,139.2659,138.7541,144.8727
2015-01-12,99.0978,103.7686,110.6006,118.2607,120.5789,122.9103,128.8102,139.6397,139.1984,145.7638
2015-01-13,98.1476,103.3057,108.6933,118.2736,118.6031,123.5321,128.5561,138.6469,139.5169,145.7875
2015-01-14,98.0415,102.9297,108.3432,116.769,117.777,123.5015,128.4814,137.5566,140.7632,144.4862
2015-01-15,98.7061,104.3716,109.5949,116.8241,117.8157,122.8784,128.1421,137.9281,140.5835,143.1874
2015-01-16,99.1093,105.2696,110.18,117.2573,118.8044,123.0077,128.6164,139.6229,140.3245,142.2799
2015-01-19,100.3298,106.7163,112.0432,117.597,120.4614,123.0641,128.4798,139.3384,141.504,143.3975
2015-01-20,98.9049,104.0309,110.6757,115.8597,117.812,123.2016,128.8218,138.0991,138.065,142.0315
2015-01-21,97.9489,103.6335,110.1971,115.8447,116.7371,124.9749,129.5194,138.7896,138.4628,140.891
2015-01-22,96.3298,100.8263,108.5267,114.0635,113.6454,125.3628,129.8444,138.4627,135.7986,141.1303
2015-01-23,98.2621,101.8063,109.2921,114.003,114.5247,126.6288,129.6854,138.0911,136.0358,141.1593
2015-01-26,99.936,102.3715,110.4963,115.3139,115.3043,126.623,129.2695,138.2371,137.0843,139.2072
2015-01-27,97.5773,101.9896,109.8988,114.7159,114.9298,127.4335,129.4519,139.2242,136.0192,139.5386
2015-01-28,97.2102,101.9719,109.3523,114.2152,114.9581,128.0692,129.5438,140.1708,134.823,141.1163
2015-01-29,98.1625,103.4303,110.2513,115.1221,115.9572,128.3547,129.5987,138.8124,136.9078,141.4622
2015-01-30,96.8436,102.509,109.3817,113.9171,113.2838,129.5595,130.0985,137.692,133.2234,139.9313
2015-02-02,97.1468,102.9905,110.6131,115.3172,113.4388,129.5483,129.9106,138.88,132.878,139.398
2015-02-03,96.5691,102.1398,110.9226,114.8127,113.4957,129.2658,129.9505,137.9259,131.6357,137.2305
2015-02-04,95.573,101.6363,111.0148,114.3711,111.6701,128.4334,129.7534,137.4231,129.7094,137.1874
2015-02-05,94.6291,100.9601,111.0188,112.7923,109.9305,128.1247,130.2307,137.1518,129.9848,137.923
2015-02-06,94.2503,98.8799,109.3959,112.0578,109.424,128.468,130.3427,137.2194,127.5519,136.2693
2015-02-09,95.1739,100.7927,110.9952,112.7745,109.9942,127.0475,129.8614,138.4598,130.1623,136.4387
2015-02-10,94.2467,100.2339,110.6232,111.7274,110.2159,126.229,129.2805,138.329,129.6229,137.1714
2015-02-11,95.0656,101.5944,111.5226,112.8593,110.7081,126.5501,129.0903,138.8361,129.0688,138.1326
2015-02-12,93.377,100.4211,111.3328,112.4126,109.4183,127.0976,129.6782,138.8966,126.3242,139.3539
2015-02-13,94.0036,101.5508,111.2512,112.2103,111.634,127.7465,129.638,140.6123,127.2389,140.6736
2015-02-16,93.1705,101.7963,111.5846,112.0061,109.8784,127.0266,129.6988,141.0142,126.1497,141.1581
2015-02-17,94.7588,101.6417,113.8393,112.8709,111.5159,126.1962,129.8915,140.2098,126.8391,140.5919
2015-02-18,94.8102,101.6858,114.8431,112.9689,111.6612,126.1098,129.917,141.4769,127.0042,142.8575
2015-02-19,94.2429,101.708,115.8152,112.6924,111.9729,126.0361,129.7316,140.9413,128.0794,141.2365
2015-02-20,93.2052,99.2455,114.4885,110.8904,111.1402,126.7258,129.6304,141.5689,127.1024,140.3949
2015-02-23,94.4764,101.2361,115.9861,111.7489,111.9849,126.0442,129.1406,140.5107,127.8748,141.0269
2015-02-24,93.2259,98.7381,114.2485,110.0148,109.554,126.026,129.2098,140.3936,126.9701,141.0661
2015-02-25,94.3526,99.4479,114.9005,110.5612,109.3489,127.216,129.3701,140.8188,127.0363,141.1515
2015-02-26,94.1589,98.5654,114.3069,110.0407,107.8504,126.1235,129.0819,141.9515,127.1424,141.0074
2015-02-27,95.1717,100.1618,116.0765,110.3816,110.442,125.869,128.5087,142.258,129.3277,142.3101
2015-03-02,94.6161,99.6808,116.5668,110.3226,109.8215,125.7269,128.5945,142.0477,128.8458,141.202
2015-03-03,94.9445,98.6826,116.5411,109.6414,110.0754,125.5635,128.9849,141.4589,128.4453,139.6408
2015-03-04,96.3769,100.8264,117.9544,110.6452,112.6419,125.7441,128.3814,140.8269,130.8204,140.5216
2015-03-05,97.4028,103.1947,120.5161,110.9611,114.3706,125.8636,128.6472,140.9004,130.1691,142.1224
