Date,Strategy,Turnover,Transaction Cost
2017-11-27,Equal Weight,1.0,0.0005
2017-11-27,Maximum Diversification,1.0000000000000002,0.0005000000000000001
2017-11-27,Maximum Sharpe,1.0,0.0005
2017-11-27,Minimum Volatility,1.0,0.0005
2017-11-27,Risk Parity,0.9999999999999999,0.0004999999999999999
2017-12-01,Equal Weight,0.0,0.0
2017-12-01,Maximum Diversification,0.008624717786172006,4.312358893086003e-06
2017-12-01,Maximum Sharpe,0.08087048706622332,4.043524353311166e-05
2017-12-01,Minimum Volatility,0.006956406698536215,3.4782033492681077e-06
2017-12-01,Risk Parity,0.002792680782757115,1.3963403913785574e-06
2018-01-01,Equal Weight,0.0,0.0
2018-01-01,Maximum Diversification,0.020491993775741405,1.0245996887870703e-05
2018-01-01,Maximum Sharpe,0.1413709643689022,7.06854821844511e-05
2018-01-01,Minimum Volatility,0.01649421385208807,8.247106926044036e-06
2018-01-01,Risk Parity,0.0023639608258326783,1.1819804129163393e-06
2018-02-01,Equal Weight,0.0,0.0
2018-02-01,Maximum Diversification,0.024330281922954566,1.2165140961477282e-05
2018-02-01,Maximum Sharpe,0.05750857269593327,2.8754286347966636e-05
2018-02-01,Minimum Volatility,0.018115140095215625,9.057570047607813e-06
2018-02-01,Risk Parity,0.005712311142042015,2.8561555710210074e-06
2018-03-01,Equal Weight,0.0,0.0
2018-03-01,Maximum Diversification,0.02878407292591665,1.4392036462958325e-05
2018-03-01,Maximum Sharpe,0.018009049998650363,9.004524999325182e-06
2018-03-01,Minimum Volatility,0.028830913071851216,1.4415456535925609e-05
2018-03-01,Risk Parity,0.004776675309478964,2.3883376547394823e-06
2018-04-02,Equal Weight,0.0,0.0
2018-04-02,Maximum Diversification,0.01977054108620594,9.88527054310297e-06
2018-04-02,Maximum Sharpe,0.011566109609318698,5.783054804659349e-06
2018-04-02,Minimum Volatility,0.017987085194804443,8.993542597402222e-06
2018-04-02,Risk Parity,0.005217014576928913,2.608507288464457e-06
2018-05-01,Equal Weight,0.0,0.0
2018-05-01,Maximum Diversification,0.02272785657702009,1.1363928288510045e-05
2018-05-01,Maximum Sharpe,0.011566109609339348,5.783054804669674e-06
2018-05-01,Minimum Volatility,0.013631522149552662,6.815761074776331e-06
2018-05-01,Risk Parity,0.009294886326201887,4.647443163100944e-06
2018-06-01,Equal Weight,0.0,0.0
2018-06-01,Maximum Diversification,0.020159543227385092,1.0079771613692547e-05
2018-06-01,Maximum Sharpe,4.39648317751562e-14,2.19824158875781e-17
2018-06-01,Minimum Volatility,0.022351330377824326,1.1175665188912164e-05
2018-06-01,Risk Parity,0.0077257733401269735,3.862886670063487e-06
2018-07-02,Equal Weight,0.0,0.0
2018-07-02,Maximum Diversification,0.02453482168875743,1.2267410844378716e-05
2018-07-02,Maximum Sharpe,4.5574655160862676e-14,2.278732758043134e-17
2018-07-02,Minimum Volatility,0.022962603038755146,1.1481301519377573e-05
2018-07-02,Risk Parity,0.004162991158552343,2.0814955792761713e-06
2018-08-01,Equal Weight,0.0,0.0
2018-08-01,Maximum Diversification,0.019012973523600957,9.506486761800478e-06
2018-08-01,Maximum Sharpe,0.007763921344677294,3.881960672338647e-06
2018-08-01,Minimum Volatility,0.023752559310219426,1.1876279655109712e-05
2018-08-01,Risk Parity,0.010036707750769147,5.018353875384574e-06
2018-09-03,Equal Weight,0.0,0.0
2018-09-03,Maximum Diversification,0.013536451593224037,6.768225796612018e-06
2018-09-03,Maximum Sharpe,0.1204793472315206,6.0239673615760296e-05
2018-09-03,Minimum Volatility,0.010376374425901846,5.188187212950923e-06
2018-09-03,Risk Parity,0.005992403301944685,2.9962016509723426e-06
2018-10-01,Equal Weight,0.0,0.0
2018-10-01,Maximum Diversification,0.019895982586686272,9.947991293343136e-06
2018-10-01,Maximum Sharpe,0.0435816274298821,2.179081371494105e-05
2018-10-01,Minimum Volatility,0.02099934360784284,1.049967180392142e-05
2018-10-01,Risk Parity,0.006224708369199708,3.112354184599854e-06
